dominio,anio,asistio_escuela,cantidad_personas,poblacion_total_2020,tasa_educacion_por_100k
AMAZONAS,2019,si,1284,472993,271.46279120409815
AMAZONAS,2020,si,1308,472993,276.53686206772613
AMAZONAS,2021,si,1288,472993,272.3084696813695
AMAZONAS,2022,si,1279,472993,270.405693107509
AMAZONAS,2023,si,1270,472993,268.5029165336485
ANCASH,2019,si,1143,1246249,91.71521902926301
ANCASH,2020,si,1133,1246249,90.91281116374014
ANCASH,2021,si,1094,1246249,87.783420488201
ANCASH,2022,si,1109,1246249,88.98703228648529
ANCASH,2023,si,1069,1246249,85.77740082439384
APURIMAC,2019,si,1111,460316,241.35593809470018
APURIMAC,2020,si,1111,460316,241.35593809470018
APURIMAC,2021,si,1101,460316,239.18351740977937
APURIMAC,2022,si,1079,460316,234.40419190295364
APURIMAC,2023,si,1117,460316,242.65939050565265
AREQUIPA,2019,si,1134,1556246,72.86765716988188
AREQUIPA,2020,si,1046,1556246,67.21302416198982
AREQUIPA,2021,si,1054,1556246,67.72708170816182
AREQUIPA,2022,si,1122,1556246,72.09657085062388
AREQUIPA,2023,si,1135,1556246,72.93191436315338
AYACUCHO,2019,si,1291,690053,187.08707881858348
AYACUCHO,2020,si,1308,690053,189.55065770310395
AYACUCHO,2021,si,1252,690053,181.4353390246836
AYACUCHO,2022,si,1289,690053,186.79724600863992
AYACUCHO,2023,si,1303,690053,188.826075678245
CAJAMARCA,2019,si,1139,1603521,71.03118699412106
CAJAMARCA,2020,si,1168,1603521,72.83970711952011
CAJAMARCA,2021,si,1078,1603521,67.22705845448858
CAJAMARCA,2022,si,1121,1603521,69.90865726111477
CAJAMARCA,2023,si,1107,1603521,69.03557857988763
CALLAO,2019,si,1107,1147951,96.43268745791414
CALLAO,2020,si,1083,1147951,94.34200588701086
CALLAO,2021,si,1124,1147951,97.91358690397064
CALLAO,2022,si,1077,1147951,93.81933549428503
CALLAO,2023,si,1062,1147951,92.51265951247048
CUSCO,2019,si,1063,1460963,72.76022732950801
CUSCO,2020,si,1074,1460963,73.51315536396199
CUSCO,2021,si,1065,1460963,72.89712333577236
CUSCO,2022,si,1015,1460963,69.47472317916333
CUSCO,2023,si,1016,1460963,69.54317118229551
HUANCAVELICA,2019,si,1153,435152,264.9648858329963
HUANCAVELICA,2020,si,1147,435152,263.5860572857301
HUANCAVELICA,2021,si,1136,435152,261.0582049490753
HUANCAVELICA,2022,si,1113,435152,255.77269551788802
HUANCAVELICA,2023,si,1128,435152,259.2197668860536
HUANUCO,2019,si,1279,865820,147.72123536069853
HUANUCO,2020,si,1233,865820,142.40835277540367
HUANUCO,2021,si,1234,865820,142.52385022291006
HUANUCO,2022,si,1218,865820,140.6758910628075
HUANUCO,2023,si,1247,865820,144.0253170404934
ICA,2019,si,1242,938259,132.37283095605798
ICA,2020,si,1186,938259,126.40432972132427
ICA,2021,si,1135,938259,120.96873038254896
ICA,2022,si,1089,938259,116.066032939732
ICA,2023,si,1145,938259,122.03453417446569
JUNIN,2019,si,1152,1408222,81.80528354194153
JUNIN,2020,si,1138,1408222,80.81112211000823
JUNIN,2021,si,1144,1408222,81.2371912951225
JUNIN,2022,si,1103,1408222,78.32571853017492
JUNIN,2023,si,1106,1408222,78.53875312273207
LA LIBERTAD,2019,si,1103,2054619,53.68391901369548
LA LIBERTAD,2020,si,1132,2054619,55.09537291342094
LA LIBERTAD,2021,si,1046,2054619,50.90968203837305
LA LIBERTAD,2022,si,1069,2054619,52.02911099332772
LA LIBERTAD,2023,si,1117,2054619,54.36531055149397
LAMBAYEQUE,2019,si,1172,1393148,84.12602250442882
LAMBAYEQUE,2020,si,1115,1393148,80.03456919150011
LAMBAYEQUE,2021,si,1120,1393148,80.39346860491491
LAMBAYEQUE,2022,si,1141,1393148,81.90084614125706
LAMBAYEQUE,2023,si,1186,1393148,85.13094086199025
LIMA,2019,si,3899,11261067,34.62371727297245
LIMA,2020,si,3680,11261067,32.67896372519585
LIMA,2021,si,3879,11261067,34.446114209248556
LIMA,2022,si,3779,11261067,33.558098890629104
LIMA,2023,si,3617,11261067,32.11951407446559
LORETO,2019,si,1212,1154766,104.95632881466895
LORETO,2020,si,1174,1154766,101.66561883533113
LORETO,2021,si,1121,1154766,97.07594439046525
LORETO,2022,si,1145,1154766,99.15428753531019
LORETO,2023,si,1100,1154766,95.25739413872594
MADRE DE DIOS,2019,si,1123,177571,632.423087103187
MADRE DE DIOS,2020,si,1091,177571,614.4021264733543
MADRE DE DIOS,2021,si,1125,177571,633.5493971425514
MADRE DE DIOS,2022,si,1086,177571,611.586351374943
MADRE DE DIOS,2023,si,1097,177571,617.7810565914479
MOQUEGUA,2019,si,1121,197622,567.2445375514872
MOQUEGUA,2020,si,1101,197622,557.1242068190788
MOQUEGUA,2021,si,1092,197622,552.5700579894951
MOQUEGUA,2022,si,1033,197622,522.7150823288905
MOQUEGUA,2023,si,1050,197622,531.3173634514376
PASCO,2019,si,1133,294380,384.8766899925267
PASCO,2020,si,1098,294380,372.98729533256335
PASCO,2021,si,1035,294380,351.5863849446294
PASCO,2022,si,1088,294380,369.5903254297167
PASCO,2023,si,1102,294380,374.346083293702
PIURA,2019,si,1186,2069446,57.310024035418174
PIURA,2020,si,1191,2069446,57.5516345920599
PIURA,2021,si,1088,2069446,52.57445712524028
PIURA,2022,si,1133,2069446,54.74895213501584
PIURA,2023,si,1174,2069446,56.730158699478025
PUNO,2019,si,1119,1279290,87.47039373402434
PUNO,2020,si,1175,1279290,91.84782183867614
PUNO,2021,si,1139,1279290,89.03376091425713
PUNO,2022,si,1116,1279290,87.23588865698943
PUNO,2023,si,1107,1279290,86.53237342588467
SAN MARTIN,2019,si,1218,965432,126.1611382262034
SAN MARTIN,2020,si,1253,965432,129.78645829017475
SAN MARTIN,2021,si,1158,965432,119.94630383082392
SAN MARTIN,2022,si,1146,965432,118.70333695174803
SAN MARTIN,2023,si,1185,965432,122.74297930874468
TACNA,2019,si,1189,379400,313.3895624670533
TACNA,2020,si,1089,379400,287.03215603584607
TACNA,2021,si,1173,379400,309.1723774380601
TACNA,2022,si,1182,379400,311.5445440168687
TACNA,2023,si,1143,379400,301.26515550869794
TUMBES,2019,si,1213,248097,488.92167176547883
TUMBES,2020,si,1135,248097,457.48235569152394
TUMBES,2021,si,1161,248097,467.96212771617553
TUMBES,2022,si,1176,248097,474.0081500380899
TUMBES,2023,si,1170,248097,471.5897411093242
UCAYALI,2019,si,1196,632861,188.9830468301886
UCAYALI,2020,si,1196,632861,188.9830468301886
UCAYALI,2021,si,1194,632861,188.66702166826522
UCAYALI,2022,si,1205,632861,190.4051600588439
UCAYALI,2023,si,1199,632861,189.4570845730737
