ubigeo,region_provincia_distrito,poblacion_total_2007,poblacion_total_2017,poblacion_total_2020,poblacion_menores_uno_2017,poblacion_mayores_80_2020,poblacion_discapacidad_2020,superficie_km2,densidad_2020,capital_legal,altitud_msnm,latitud_sur,longitud_oeste,numero_centros_poblados,pais_fronterizo,poblacion_menores_uno_2017_dup,nacidos_vivos_residencia_madre_2020,nacidos_vivos_bajo_peso_residencia_madre_2020,porcentaje_bajo_peso_nacer_2020,porcentaje_dni_menores_30_dias_2021,indice_vulnerabilidad_inseguridad_alimentaria_2018,porcentaje_desnutricion_cronica_menores_5_2020,porcentaje_anemia_6_35_meses_2020,distritos_meta_4,centros_salud_mental_comunal_2021,camara_comercio,sedes_senati_2021,mercados_abastos_2016,indice_desarrollo_humano_2019,porcentaje_poblacion_pobreza_total,numero_habitantes_pobreza_total,porcentaje_poblacion_pobreza_extrema,numero_habitantes_pobreza_extrema,poblacion_ocupada_2007,poblacion_ocupada_2017,devengado_per_capita_actividad_2020,devengado_per_capita_inversion_2020,devengado_per_capita_total_2020
150000,LIMA,8730820,10135009,11261067,137218,217672,88625,34823.52,323.375322196033,Lima,162.42,-12.0452777777778,-77.0308333333333,5229,No,137218,144830,7499,5.17779465580336,7.89983497165818,0.26664412021637,5.08505547342615,30.9926479304173,73,44,5,12,1232,0.707336107289595,26.25,2956030.0875,3.05,343462.5435,3625326,4873073.32414016,6923.73593561532,488.735053584176,7412.47098919932
10000,AMAZONAS,406087,417365,472993,8043,7743,7826,39249.13,12.0510441887502,Chachapoyas,2338.0,-6.22944444444445,-77.8727777777777,3174,Ecuador,8043,5113,365,7.13866614512028,3.28571428571429,0.868359863758087,17.4673888030566,34.2307430117196,35,6,1,2,26,0.41773584000102,32.95,155851.1935,7.3,34528.489,124320,142701.360234441,3919.83001251604,1561.3788374458,5481.20884996184
60000,CAJAMARCA,1476708,1427527,1603521,24296,34202,14891,33304.32,48.1475376167416,Cajamarca,2731.0,-7.15472222222222,-78.5108333333333,6513,Ecuador,24296,18926,1591,8.40642502377682,9.75952813067151,0.835436940193176,24.4138114820435,33.7771493161979,107,6,2,4,62,0.425118177467261,43.65,699936.9165,12.95,207655.9695,439480,494360.51453631,3413.33140442191,774.51060418292,4187.84200860482
130000,LA LIBERTAD,1682213,1888972,2054619,32610,38674,12707,25495.42,80.587768312897,Trujillo,74.0,-8.1,-79.0305555555556,3506,No,32610,24133,1494,6.19069324161936,5.29885918160596,0.518521189689636,13.3556716407555,36.2985740770779,53,14,3,2,160,0.548224440009111,32.95,676996.9605,7.3,149987.187,567300,737260.228437372,2516.54441080318,655.05907857856,3171.60348938173
140000,LAMBAYEQUE,1174519,1244821,1393148,20923,26935,8254,14461.52,96.3348251082874,Chiclayo,28.0,-6.76694444444444,-79.8505555555555,1469,No,20923,14723,981,6.66304421653195,5.28077141236529,0.467348098754883,9.50666953187668,38.3183047172971,16,5,1,2,63,0.534251994634913,17.3,241014.604,0.55,7662.314,377864,479220.565474507,2541.59106471818,443.446745815951,2985.03781053413
160000,LORETO,944717,981897,1154766,20899,12576,4956,368799.48,3.1311486664786,Iquitos,107.0,-3.74805555555556,-73.2441666666667,2375,"Brasil Colombia Ecuador",20899,18632,1591,8.5390725633319,3.63718683972231,0.575208365917206,25.1651320265987,50.4730752206655,28,6,2,3,32,0.483376950316121,32.95,380495.397,7.3,84297.918,293382,337629.622605347,3394.59374096572,800.286640834593,4194.8803818003
200000,PIURA,1725502,1929970,2069446,34794,35841,21106,35656.18,58.0389149931372,Piura,57.0,-5.1525,-80.6577777777778,2803,Ecuador,34794,24158,1753,7.25639539696995,2.95888399412628,0.618340313434601,12.9859363592697,43.2228252689787,32,13,4,6,76,0.513005534963378,32.95,681882.457,3.05,63118.103,530530,695074.430224484,2635.4802172514,1049.7200750394,3685.20029229079
220000,SAN MARTÍN,746844,862459,965432,16361,11673,8696,51305.78,18.8172170854824,Moyobamba,895.0,-6.03472222222222,-76.9741666666667,2510,No,16361,13702,893,6.51729674500073,7.79877748893417,0.817338705062866,10.7868664141527,45.3956278183549,16,5,4,2,46,0.483200263495498,26.25,253425.9,3.05,29445.676,284443,343462.060065476,3063.33130327149,845.636115614564,3908.96741888605
240000,TUMBES,210798,234698,248097,4150,3470,5853,4668.5,53.142765342187,Tumbes,9.0,-3.57111111111111,-80.4591666666667,190,Ecuador,4150,4116,274,6.65694849368319,7.31046931407942,0.506926894187927,7.29493589986181,41.9474731594414,4,2,1,1,10,0.555171957916394,32.95,81747.9615,3.05,7566.9585,73443,95073.106194998,4012.61786575411,1298.65116003015,5311.26902578427
20000,ÁNCASH,1097098,1139115,1246249,18028,29278,9523,35881.3,34.7325487092162,Huaraz,3073.0,-9.52972222222222,-77.5291666666667,7411,No,18028,17261,1069,6.19315219280459,4.16135610502167,0.50199431180954,16.7546135825422,37.9694320670275,68,7,2,5,109,0.515933850177431,32.95,410639.0455,3.05,38010.5945,346356,409239.314654862,3404.44713579712,1031.89188100452,4436.33901680162
70000,CALLAO,897144,1046953,1147951,15126,19801,10959,145.91,7867.5279281749,Callao,27.0,-12.0630555555556,-77.1469444444445,7,No,15126,15972,864,5.40946656649136,9.93044822256569,0.271683037281036,5.61502296330887,32.8228030531476,7,5,0,1,171,0.640163109859599,32.95,378249.8545,3.05,35012.5055,351857,471156.345378749,4249.98778933073,129.499422518905,4379.48721184963
100000,HUÁNUCO,804220,759962,865820,14022,13390,8457,37263.44,23.235106581679,Huánuco,1921.0,-9.93,-76.2397222222222,6365,No,14022,14762,837,5.66996341959084,8.89996167113837,0.627072513103485,19.2311870160463,40.6768939661191,49,7,2,1,37,0.45365158611267,43.65,377930.43,12.95,112123.69,237893,268045.212990192,3426.9858080086,1012.40531372572,4439.39112173431
120000,JUNÍN,1273648,1316894,1408222,22675,24674,10306,44328.8,31.7676544368447,Huancayo,3294.0,-12.0708333333333,-75.2088888888889,4530,No,22675,20512,1410,6.87402496099844,4.96944540528076,0.496396243572235,17.4655275192989,49.1924874014129,46,11,3,8,121,0.510749409804805,32.95,464009.149,7.3,102800.206,444371,543729.149404347,3280.7866115712,530.704788094492,3811.49139966568
190000,PASCO,285291,272136,294380,4524,3987,5362,25025.84,11.7630417200781,Cerro de Pasco,4373.0,-10.6825,-76.2569444444444,2700,No,4524,4652,372,7.99656061908856,5.93807763401109,0.533962607383728,18.0006383458402,49.604109388495,6,2,1,2,19,0.478467834243813,43.65,128496.87,12.95,38122.21,93752,104844.6702675,4162.709553808,1342.45165136898,5505.16120517698
250000,UCAYALI,444209,548998,632861,11861,5429,3577,102199.28,6.19242131647111,Pucallpa,162.0,-8.36805555555556,-74.5433333333333,1025,Brasil,11861,10960,843,7.69160583941606,9.6364809636481,0.409162819385529,17.3715346183522,57.1958330930252,7,4,2,1,28,0.483524010358863,26.25,166126.0125,3.05,19302.2605,155213,211396.712158866,2900.6920461049,811.991674964961,3712.68372106987
30000,APURÍMAC,438761,424259,460316,7048,11015,7189,20895.77,22.0291475260304,Abancay,2500.0,-13.6288888888889,-72.8861111111111,4138,No,7048,7235,456,6.30269523151348,14.3902051200509,0.568466663360596,17.5361415016426,49.9465002461053,36,7,2,2,23,0.410925842252991,32.95,151674.122,7.3,33603.068,112316,147744.993144539,4796.29616989198,1658.37079775632,6454.66696764831
40000,AREQUIPA,1180683,1460433,1556246,20731,31229,11324,63343.95,24.5681868592028,Arequipa,2429.0,-16.3933333333333,-71.5288888888889,4727,No,20731,20401,907,4.44586049703446,17.3027671934537,0.237851083278656,6.0,40.1883855330986,32,11,2,2,118,0.642545320366089,17.3,269230.558,3.05,47465.503,464472,684665.164111331,3115.63259645327,826.77391760043,3942.40651405369
50000,AYACUCHO,627317,650940,690053,10813,15814,7489,43803.26,15.7534621852346,Ayacucho,2797.0,-13.1602777777778,-74.2252777777778,7419,No,10813,11503,687,5.97235503781622,5.75597892176733,0.524958372116089,18.0839245538145,44.9999127050851,35,7,1,1,38,0.432741194808449,43.65,301208.1345,12.95,89361.8635,194256,250954.469073261,4407.36578478754,1508.12304188229,5915.48882666984
80000,CUSCO,1247503,1315220,1460963,20687,23787,15009,71986.5,20.2949580824182,Cusco,3439.0,-13.5191666666667,-71.9766666666667,8968,No,20687,21503,1230,5.72013207459424,8.02647027430889,0.468433558940887,13.4973423805707,53.7049569412684,55,9,2,1,72,0.512071661355618,32.95,481387.3085,7.3,106650.299,423199,543334.415832573,3769.56778975926,1400.04349651565,5169.61128627488
90000,HUANCAVELICA,463651,367252,435152,6130,9020,7057,22125.2,19.6677092184477,Huancavelica,3746.0,-12.7869444444444,-74.9713888888889,6702,No,6130,7166,573,7.99609265978231,5.59416850313613,0.665525853633881,31.5329944975731,49.7094353923629,56,5,1,1,9,0.383825337568503,43.65,189943.848,12.95,56352.184,130087,119096.712775072,4794.41011042117,1373.04080491415,6167.45091533533
110000,ICA,722321,893292,938259,15350,16913,8328,21305.51,44.0383262357953,Ica,432.0,-14.0636111111111,-75.7291666666667,1297,No,15350,14776,716,4.84569572279372,7.02438140125079,0.331079721450806,5.86821974190935,35.8474560614664,22,6,4,3,35,0.599986345114448,8.95,83974.1805,0.55,5160.4245,279520,389685.586598539,2960.80798010997,487.39637353865,3448.20435364862
170000,MADRE DE DIOS,111604,161204,177571,3117,939,1424,85300.54,2.08171015095567,Puerto Maldonado,204.0,-12.5936111111111,-69.1766666666667,307,"Bolivia Brasil",3117,3331,145,4.3530471329931,5.1063829787234,0.284595668315888,8.5,54.7801731442017,3,2,1,1,17,0.613593303241319,8.95,15892.6045,3.05,5415.9155,49712,73569.841842902,4768.73764663147,2279.45237093895,7048.19001757043
180000,MOQUEGUA,165871,182017,197622,2413,3877,2366,15733.88,12.5602839223383,Moquegua,1428.0,-17.1941666666667,-70.9333333333333,1241,No,2413,2391,88,3.68046842325387,6.27268014515293,0.298861145973206,2.2,32.6815791784402,7,4,2,1,14,0.658913371417049,17.3,34188.606,3.05,6027.471,67972,86093.67737282,5109.06755507989,2290.64415495239,7399.71171003228
210000,PUNO,1317911,1226936,1279290,16973,25568,12275,66993.52,19.095727467373,Puno,3848.0,-15.8402777777778,-70.0280555555555,9372,Bolivia,16973,15766,1006,6.38081948496765,9.24358180191341,0.459560394287109,14.2335709726765,69.3798010401455,65,10,2,4,50,0.465586459636037,43.65,558410.085,7.3,93388.17,456897,476468.424887551,3562.37310457365,1050.05938382228,4612.43248839591
230000,TACNA,306461,349056,379400,4702,4835,3436,16075.73,23.6007944895815,Tacna,583.0,-18.0019444444444,-70.2519444444444,944,Chile,4702,4188,179,4.27411652340019,3.94515948517068,0.268561840057373,1.9,29.210367051366,7,5,1,2,44,0.590028467921762,26.25,99592.5,3.05,11571.7,127311,171689.052712099,3895.53046323141,1249.46558958882,5144.99605282024